M+H;1+
M+Na;1+
M+K;1+
M+NH4;1+
M+H-H2O;1+
M+H-CO2;1+
M+H-HPO3;1+
M+H-H3PO4;1+
M+H-H+K;1+
M+H-H+Na;1+
M+H+NH4+HCO3;1+
M+H+H2PO4Na;1+
M+H+H2PO4K;1+
M+H+HPO4Na2;1+
M+H+HPO4K2;1+
M+H+H2PO4N;1+
M+H+H2PO4K;1+
M+H+H2PO4+H2PO4+Na+H;1+
M+H+H2PO4+H2PO4+K+H;1+
